Label,StopwordRemovedSentence
positive,several times animal let us gain upon shall catch
negative,shall catch cried canadian
negative,going strike cetacean stole away rapidity could estimated less thirty miles hour even maximum speed bullied frigate going round round
negative,cry fury broke everyone
positive,noon advanced eight clock morning
neutral,captain decided take direct means
neutral,ah said animal goes quicker abraham lincoln
neutral,well
negative,see whether escape conical bullets
negative,send men forecastle sir forecastle gun immediately loaded slewed round
neutral,shot passed feet cetacean half mile
negative,another right cried commander five dollars whoever hit infernal beast old gunner grey beard see steady eye grave face went gun took long aim
positive,loud report heard mingled cheers crew
positive,illustration old grey bearded gunner
neutral,
neutral,
neutral,
negative,bullet work hit animal fatally sliding rounded surface lost two miles depth sea
positive,chase began captain leaning towards said pursue beast till frigate bursts yes answered quite right wished beast would exhaust insensible fatigue like steam engine
neutral,use
neutral,hours passed without showing signs exhaustion
positive,however must said praise abraham lincoln struggled indefatigably
neutral,cannot reckon distance made three hundred miles unlucky day november 6th
neutral,night came overshadowed rough ocean
neutral,thought expedition end never see extraordinary animal
negative,mistaken
positive,ten minutes eleven evening electric light reappeared three miles windward frigate pure intense preceding night
negative,narwhal seemed motionless perhaps tired day work slept letting float undulation waves
positive,chance captain resolved take advantage
neutral,gave orders
positive,abraham lincoln kept half steam advanced cautiously awake adversary
positive,rare thing meet middle ocean whales sound asleep successfully attacked ned land harpooned one sleep
